Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
69721,RCPsych in Scotland,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.rcpsych.ac.uk/members/divisions/rcpsychinscotland.aspx,[]
1992,National Library of Wales,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.nlw.org.uk/,"['http://www.llgc.org.uk/', 'http://digidol.llgc.org.uk/', 'https://viewer.library.wales/', 'https://syllwr.llyfrgell.cymru/']"
3123,Press Association (PA),LIVE,QA issues found,False,False,False,True,https://www.pressassociation.com/,[]
8671,"James Hutton Institute, The",,No QA issues found (OK to publish),True,False,False,True,http://www.hutton.ac.uk/,['http://www.hutton.ac.uk/sitemap.xml']
2842,Equality and Human Rights Commission,LIVE,QA issues found,False,False,False,True,http://www.equalityhumanrights.com/,[]
34893,Michael Russell MSP | MSP for Argyll and Bute (SNP),LIVE,"QA issues, but OK to publish",True,False,False,True,http://www.michaelrussellmsp.scot/,['http://i0.wp.com/www.michaelrussellmsp.scot']
12659,Alex Rowley | Labour Member of the Scottish Parliament for Cowdenbeath,LIVE,QA issues found,False,False,False,True,http://www.alexrowley.org/,"['http://www.alexrowley.org/sitemap.xml.gz', 'http://www.alexrowley.org/wp-content/uploads/']"
12627,Shona Robison,LIVE,QA issues found,True,False,False,True,https://www.shonarobison.org/,[]
34407,Liam McArthur,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.liammcarthur.org.uk,[]
55534,"Clark Memorial Church, Largs",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.clarkmemorial.org.uk/,[]
12651,Lewis Macdonald MSP,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.lewismacdonald.co.uk/msp/,[]
13400,Bill Kidd MSP for Glasgow Anniesland,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.billkiddmsp.org/,[]
34310,Jamie Hepburn MSP « Working for Cumbernauld & Kilsyth,NO_LONGER_UPDATED,QA issues found,False,False,False,True,http://www.jamiehepburn.net,"['https://s0.wp.com/', 'https://s1.wp.com/i/', 'https://s2.wp.com/wp-content/']"
12648,Iain Gray MSP,LIVE,"QA issues, but OK to publish",False,False,False,True,http://www.iaingraymsp.co.uk/,[]
12668,Murdo Fraser MSP,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.murdofraser.com/,[]
12646,Mary Fee MSP,LIVE,QA issues found,False,False,False,True,http://maryfeemsp.com/,['https://maryfeemsp.com/sitemap.xml']
